user;candidateSkills;candidateName;candidateCity
x0001;"[""java"",""kogito""]";Jaime;Madrid
x0002;"[""java"",""kogito""]";Jaime;Madrid
x0003;"[""kafka"",""EDA""]";Pablo;Madrid
x0004;"[""kafka"",""EDA""]";Cristina;Madrid
x0005;"[""kafka"",""EDA""]";Cristina;Avila
x0006;"[""kafka"",""EDA""]";Javier;Avila
x0007;"[""kubernetes"",""linux""]";Cesar;Badajoz
x0008;"[""kubernetes"",""linux""]";Cesar;Zaragoza
x0009;"[""kubernetes"",""linux""]";Monica;Zaragoza
x0010;"[""kubernetes"",""linux""]";Ana;Sevilla
x0011;"[""kubernetes"",""linux""]";Ana;Sevilla
x0012;"[""BBDD"",""PostgreSQL""]";Alejandro;Malaga
x0013;"[""BBDD"",""PostgreSQL""]";Alejandro;Valencia
x0014;"[""BBDD"",""PostgreSQL""]";Miguel;Valencia
x0015;"[""BBDD"",""Oracle""]";Miguel;Pontevedra
x0016;"[""BBDD"",""Oracle""]";Luis;Madrid
x0017;"[""java"",""kogito""]";Pilar;Madrid
x0018;"[""java"",""kogito""]";Pilar;Madrid
x0019;"[""kafka"",""EDA""]";Pilar;Madrid
x0020;"[""kafka"",""EDA""]";Javier;Avila
x0021;"[""kafka"",""EDA""]";Jaime;Avila
x0022;"[""kafka"",""EDA""]";Jaime;Badajoz
x0023;"[""kubernetes"",""linux""]";Pablo;Zaragoza
x0024;"[""kubernetes"",""linux""]";Cristina;Zaragoza
x0025;"[""kubernetes"",""linux""]";Cristina;Sevilla
x0026;"[""kubernetes"",""linux""]";Javier;Sevilla
x0027;"[""kubernetes"",""linux""]";Cesar;Malaga
x0028;"[""BBDD"",""PostgreSQL""]";Cesar;Valencia
x0029;"[""BBDD"",""PostgreSQL""]";Monica;Valencia
x0030;"[""BBDD"",""PostgreSQL""]";Ana;Pontevedra
x0031;"[""BBDD"",""Oracle""]";Ana;Madrid
x0032;"[""BBDD"",""Oracle""]";Alejandro;Madrid
x0033;"[""java"",""kogito""]";Alejandro;Madrid
x0034;"[""java"",""kogito""]";Miguel;Madrid
x0035;"[""kafka"",""EDA""]";Miguel;Avila
x0036;"[""kafka"",""EDA""]";Luis;Avila
x0037;"[""kafka"",""EDA""]";Pilar;Badajoz
x0038;"[""kafka"",""EDA""]";Pilar;Zaragoza
x0039;"[""kubernetes"",""linux""]";Pilar;Zaragoza
x0040;"[""kubernetes"",""linux""]";Javier;Sevilla
x0041;"[""kubernetes"",""linux""]";Jaime;Sevilla
x0042;"[""kubernetes"",""linux""]";Jaime;Malaga
x0043;"[""kubernetes"",""linux""]";Pablo;Valencia
x0044;"[""BBDD"",""PostgreSQL""]";Cristina;Valencia
x0045;"[""BBDD"",""PostgreSQL""]";Cristina;Pontevedra
x0046;"[""BBDD"",""PostgreSQL""]";Javier;Madrid
x0047;"[""BBDD"",""Oracle""]";Cesar;Madrid
x0048;"[""BBDD"",""Oracle""]";Cesar;Madrid
x0049;"[""java"",""kogito""]";Monica;Madrid
x0050;"[""java"",""kogito""]";Ana;Avila
x0051;"[""kafka"",""EDA""]";Ana;Avila
x0052;"[""kafka"",""EDA""]";Alejandro;Badajoz
x0053;"[""kafka"",""EDA""]";Alejandro;Zaragoza
x0054;"[""kafka"",""EDA""]";Miguel;Zaragoza
x0055;"[""kubernetes"",""linux""]";Miguel;Sevilla
x0056;"[""kubernetes"",""linux""]";Luis;Sevilla
x0057;"[""kubernetes"",""linux""]";Pilar;Malaga
x0058;"[""kubernetes"",""linux""]";Pilar;Valencia
x0059;"[""kubernetes"",""linux""]";Pilar;Valencia
x0060;"[""BBDD"",""PostgreSQL""]";Javier;Pontevedra
x0061;"[""BBDD"",""PostgreSQL""]";Jaime;Madrid
x0062;"[""BBDD"",""PostgreSQL""]";Jaime;Madrid
x0063;"[""BBDD"",""Oracle""]";Pablo;Madrid
x0064;"[""BBDD"",""Oracle""]";Cristina;Madrid
x0065;"[""java"",""kogito""]";Cristina;Avila
x0066;"[""java"",""kogito""]";Javier;Avila
x0067;"[""kafka"",""EDA""]";Cesar;Badajoz
x0068;"[""kafka"",""EDA""]";Cesar;Zaragoza
x0069;"[""kafka"",""EDA""]";Monica;Zaragoza
x0070;"[""kafka"",""EDA""]";Ana;Sevilla
x0071;"[""kubernetes"",""linux""]";Ana;Sevilla
x0072;"[""kubernetes"",""linux""]";Alejandro;Malaga
x0073;"[""kubernetes"",""linux""]";Alejandro;Valencia
x0074;"[""kubernetes"",""linux""]";Miguel;Valencia
x0075;"[""kubernetes"",""linux""]";Miguel;Pontevedra
x0076;"[""BBDD"",""PostgreSQL""]";Luis;Madrid
x0077;"[""BBDD"",""PostgreSQL""]";Pilar;Madrid
x0078;"[""BBDD"",""PostgreSQL""]";Pilar;Madrid
x0079;"[""BBDD"",""Oracle""]";Pilar;Madrid
x0080;"[""BBDD"",""Oracle""]";Javier;Avila
x0081;"[""java"",""kogito""]";Jaime;Avila
x0082;"[""java"",""kogito""]";Jaime;Badajoz
x0083;"[""kafka"",""EDA""]";Pablo;Zaragoza
x0084;"[""kafka"",""EDA""]";Cristina;Zaragoza
x0085;"[""kafka"",""EDA""]";Cristina;Sevilla
x0086;"[""kafka"",""EDA""]";Javier;Sevilla
x0087;"[""kubernetes"",""linux""]";Cesar;Malaga
x0088;"[""kubernetes"",""linux""]";Cesar;Valencia
x0089;"[""kubernetes"",""linux""]";Monica;Valencia
x0090;"[""kubernetes"",""linux""]";Ana;Pontevedra
x0091;"[""kubernetes"",""linux""]";Ana;Madrid
x0092;"[""BBDD"",""PostgreSQL""]";Alejandro;Madrid
x0093;"[""BBDD"",""PostgreSQL""]";Alejandro;Madrid
x0094;"[""BBDD"",""PostgreSQL""]";Miguel;Madrid
x0095;"[""BBDD"",""Oracle""]";Miguel;Avila
x0096;"[""BBDD"",""Oracle""]";Luis;Avila
x0097;"[""java"",""kogito""]";Pilar;Badajoz
x0098;"[""java"",""kogito""]";Pilar;Zaragoza
x0099;"[""kafka"",""EDA""]";Pilar;Zaragoza
